restaurant_id,postal_code,restaurant_name,restaurant_address,dish_name,category,MAIN MUNICIPALITY
209243,3000,Taste of fresh,Tiensestraat 131,pak choi met chinese paddestoel in look saus,vegegerechten,LEUVEN
209243,3000,Taste of fresh,Tiensestraat 131,Tomaten roerei,vegegerechten,LEUVEN
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Margherita,Pizza Vegetariana (L),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Margherita,Pizza Vegetariana (M),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Vegetale,Pizza Vegetariana (M),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Vegetale,Pizza Vegetariana (L),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Caprese,Pizza Vegetariana (L),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Caprese,Pizza Vegetariana (M),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Zucchini,Pizza Vegetariana (L),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Zucchini,Pizza Vegetariana (M),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Spinaci,Pizza Vegetariana (M),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Spinaci,Pizza Vegetariana (L),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,4 Fromage,Pizza Vegetariana (M),BRUSSEL
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,4 Fromage,Pizza Vegetariana (L),BRUSSEL
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Palak paneer(spinazie met Indische kaas),Veggie gerechten,GENT
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Mix vegetables curry,Veggie gerechten,GENT
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Karahi paneer,Veggie gerechten,GENT
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Alo gobi,Veggie gerechten,GENT
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Chana massala,Veggie gerechten,GENT
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Namaste dal,Veggie gerechten,GENT
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Paneer matar,Veggie gerechten,GENT
290197,9000,Buns & Roses - Centrum,Oude schaapsmarkt 1,Knocking on heavens door,Veggie-Vegan burger,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan donut box 12,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Blue,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Cookie Pink,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts,GENT
303788,9000,Dunkin,33 Langemunt,Vegan Original Glazed,Vegan Donuts,GENT
