id,name,latitude,longitude,address,postal_code,NAME,MAIN MUNICIPALITY,MUNICIPALITY
30596,Sushi Point Gent,51.0399298,3.7167745,Kortrijksesteenweg 132,9000,Gent,GENT,GENT
30964,Win's Asian Cuisine,51.20686472,4.390628159,Lambermontplaats 25,2000,Antwerpen,ANTWERPEN,ANTWERPEN
31129,Sushiline,50.8530151,4.3909535,Chaussée de Louvain 470,1030,Schaarbeek,SCHAARBEEK,SCHAARBEEK
32042,Le Thaï 9,51.2204882,4.3973628,Grote Pieter Potstraat 9,2000,Antwerpen,ANTWERPEN,ANTWERPEN
32384,Restaurant San Marco,51.05281995831627,3.7238931655883785,Heilige Geeststraat 13,9000,Gent,GENT,GENT
32490,Isola Sarda,51.217989,4.4178651,Anneessenstraat 35,2018,Antwerpen,ANTWERPEN,ANTWERPEN
32492,Basic Italian Londenstraat,51.2310354,4.4122138,Londenstraat 45,2000,Antwerpen,ANTWERPEN,ANTWERPEN
32784,Plus+,51.051367,3.7202606,Ajuinlei 14,9000,Gent,GENT,GENT
33163,Pasta Hippo Vino,51.2199192,4.399931599999999,Oude Koornmarkt 32,2000,Antwerpen,ANTWERPEN,ANTWERPEN
33169,Tota Empanadas,51.2201231,4.3985119,Hooghstraat 24,2000,Antwerpen,ANTWERPEN,ANTWERPEN
33249,Shake Hands,50.8385212,4.4634408,208 avenue Orban,1150,Sint-Pieters-Woluwe,SINT-PIETERS-WOLUWE,SINT-PIETERS-WOLUWE
33256,L'Harmony,50.8408567,4.463332299999999,86 rue de l'église,1150,Sint-Pieters-Woluwe,SINT-PIETERS-WOLUWE,SINT-PIETERS-WOLUWE
33263,Bellini,51.205418035504884,4.4325971603393555,Transvaalstraat 75,2600,Berchem,ANTWERPEN,ANTWERPEN
33651,Otomat ,51.0564637,3.721779599999999,Kleine Vismarkt 3,9000,Gent,GENT,GENT
34286,Delitraiteur Woluwe Georges Henri,50.8433175,4.4115629,"Place Jean-Baptiste Degrooff, 7",1200,Sint-Lambrechts-Woluwe,SINT-LAMBRECHTS-WOLUWE,SINT-LAMBRECHTS-WOLUWE
34462,Schievelavabo,50.7917713,4.3314642,Rue Egide van Ophem 20,1180,Ukkel,UKKEL,UKKEL
34731,Meat and Eat,51.21062974,4.39729136,Marnixplaats 1,2000,Antwerpen,ANTWERPEN,ANTWERPEN
35031,Casa Italia,50.8028165,4.3394671,Rue du Postillon 9,1180,Ukkel,UKKEL,UKKEL
35939,Umi Sushi,51.2194256,4.4009681,Groenplaats 8,2000,Antwerpen,ANTWERPEN,ANTWERPEN
36094,Brasserie Keizershof,51.05649409999999,3.725591,Vrijdagmarkt 47,9000,Gent,GENT,GENT
36224,Yu-Thai,51.2044167,4.4214446,Lamorinierestraat 111,2018,Antwerpen,ANTWERPEN,ANTWERPEN
36435,Zorba de Griek,51.028185,3.7261945,Koolmeesstraat 33,9000,Gent,GENT,GENT
36524,De Superette,51.0454889,3.7299747,"Guldenspoorstraat 29, Gent, Belgium",9000,Gent,GENT,GENT
36533,Ichi Bites,51.0397422,3.7265919,Stalhof 19,9000,Gent,GENT,GENT
36672,Caulifornication,51.2115833,4.3966286,Volkstraat 9,2000,Antwerpen,ANTWERPEN,ANTWERPEN
36863,Simone's kitchen,51.2078867,4.4151378,Breughelstraat 32,2018,Antwerpen,ANTWERPEN,ANTWERPEN
36996,JusJus,51.208349,4.390118,Verschansingstraat 46,2000,Antwerpen,ANTWERPEN,ANTWERPEN
37133,Tutti Atelier,50.83759256,4.431520234,Place des Maïeurs 8,1150,Sint-Pieters-Woluwe,SINT-PIETERS-WOLUWE,SINT-PIETERS-WOLUWE
37361,Yammi Yammi,51.03958597511432,3.726189136505127,Overpoortstraat 49A,9000,Gent,GENT,GENT
37465,Umami,51.2104691,4.389043399999999,Luikstraat 6,2000,Antwerpen,ANTWERPEN,ANTWERPEN
37470,Tuin van Eten,51.0351671,3.7165313,Kortrijksesteenweg 573,9000,Gent,GENT,GENT
37572,Du Nord,51.221032,4.399808,Grote markt 24,2000,Antwerpen,ANTWERPEN,ANTWERPEN
38041,De Orchidee,51.04964477,3.730551401,Vlaanderenstraat 105,9000,Gent,GENT,GENT
38517,Patine,51.20829089999999,4.3925953,Leopold De Waelstraat 1,2000,Antwerpen,ANTWERPEN,ANTWERPEN
38572,Delitraiteur Woluwe - Place Saint-Lambert,50.8411993,4.4342235,Rue Voot 6,1200,Sint-Lambrechts-Woluwe,SINT-LAMBRECHTS-WOLUWE,SINT-LAMBRECHTS-WOLUWE
38632,O'yo,51.0533248,3.7250205,Sint-Baafsplein 12,9000,Gent,GENT,GENT
38974,Yadan,51.2196365,4.400244,Oude Koornmarkt 46,2000,Antwerpen,ANTWERPEN,ANTWERPEN
